
date,day,time,location,title,department
2025-10-10,venerdì,14–18,Piazzetta Fisica — via Pietro Giuria 1,Via Giuria 238 (radioattività naturale),Fisica
2025-10-10,venerdì,16–18,Piazzetta DST — via Pietro Giuria 1,Studiare le Scienze della Terra,DST
2025-10-10,venerdì,16–18,Piazzetta DSTF — via Pietro Giuria 9,"Come nasce un farmaco, dall’idea alla start up",DSTF
2025-10-13,lunedì,9:30,Museo di Fisica — via Pietro Giuria 1,Visita del Museo di Fisica,Fisica
2025-10-13,lunedì,10–13,Piazzetta DST — via Pietro Giuria 1,I ghiacciai: testimoni del cambiamento climatico,DST
2025-10-13,lunedì,10–13,Piazzetta DST — via Pietro Giuria 1,Affresco del Clima QUIZ,DST
2025-10-13,lunedì,9–13,Piazzetta DST — via Pietro Giuria 1,Presentazione concorso nazionale crescita cristalli,DST
2025-10-13,lunedì,10–13,Piazzetta Chimica — via Pietro Giuria 7,Giochiamo con l’economia circolare,Chimica
2025-10-13,lunedì,10–13,Piazzetta Chimica — via Pietro Giuria 7,Gli alimenti,Chimica
2025-10-13,lunedì,10–13,Piazzetta DSTF — via Pietro Giuria 9,"Uve piemontesi e nanotecnologie: dal vigneto alle cellule, la missione delle nanoparticelle",DSTF
2025-10-13,lunedì,10–13,Piazzetta DSTF — via Pietro Giuria 9,ParticleArmente: viaggio nell'invisibile!,Fisica
2025-10-13,lunedì,10–13,Piazzetta DSTF — via Pietro Giuria 9,Divertiamoci con l’elettrochimica,DSTF
2025-10-13,lunedì,11,Museo di Fisica — via Pietro Giuria 1,Visita del Museo di Fisica,Fisica
2025-10-13,lunedì,11–12,Partenza via Valperga Caluso 35 — itinerario Orto Botanico → via Pietro Giuria / corso Raffaello,Le rocce sono tra di noi,DST
2025-10-13,lunedì,14–17,Piazzetta DSTF — via Pietro Giuria 9,Divertiamoci con l’elettrochimica,DSTF
2025-10-13,lunedì,14–18,Piazzetta DST — via Pietro Giuria 1,(Dis)avventure sul Pianeta Terra,DST
2025-10-13,lunedì,14–18,Fisica — via Pietro Giuria 1,Svelare i segreti degli atomi: un'avventura nella spettroscopia,Fisica
2025-10-13,lunedì,pomeriggio,Piazzetta DSTF — via Pietro Giuria 9,La farmacovigilanza chiama anche te!,DSTF
2025-10-13,lunedì,16.10,Fisica — via Pietro Giuria 1,L’estroso mondo dei quanti,Fisica
2025-10-14,martedì,9–13,Piazzetta DSTF — via Pietro Giuria 9,Analisi del mercurio nei prodotti ittici,DSTF
2025-10-14,martedì,9:30–12:30,Piazzetta DST — via Pietro Giuria 1,Laboratorio Affresco del Clima,DST
2025-10-14,martedì,10–13,Piazzetta Chimica — via Pietro Giuria 7,Energia elettrica,Chimica
2025-10-14,martedì,10–13,Piazzetta Chimica — via Pietro Giuria 7,Giochiamo con l’economia circolare,Chimica
2025-10-14,martedì,10–13,Piazzetta DSTF — via Pietro Giuria 9,Economia circolare: dagli scarti alimentari a risorse per la salute,DSTF
2025-10-14,martedì,10–13,Piazzetta Fisica — via Pietro Giuria 1,ParticleArmente,Fisica
2025-10-14,martedì,10–13;14–18,Piazzetta Fisica — via Pietro Giuria 1,Alla scoperta della luce quantistica e delle sue applicazioni,Fisica
2025-10-14,martedì,10–18,Piazzetta DST — via Pietro Giuria 1,I Fossili: la Vita nel Tempo Profondo,DST
2025-10-14,martedì,10–18,Piazzetta DST — via Pietro Giuria 1,Attrazione magnetica,DST
2025-10-14,martedì,pomeriggio,Piazzetta DSTF — via Pietro Giuria 9,La farmacovigilanza chiama anche te!,DSTF
2025-10-14,martedì,15–18,Piazzetta Fisica — via Pietro Giuria 1,La grande vasca rotante: lo studio dei moti atmosferici in laboratorio,Fisica
2025-10-14,martedì,17:00–18:30,Piazzetta DSTF — via Pietro Giuria 9,La farmacia della natura: storie di Chimica Farmaceutica,DSTF
2025-10-14,martedì,16,Piazzetta Fisica — via Pietro Giuria 1,Quelli che fecero la Meccanica Quantistica,Fisica
2025-10-14,martedì,17,Laboratorio di contattologia — via Pietro Giuria 1,La visione dei colori,Fisica
2025-10-15,mercoledì,mattino,Piazzetta DST — via Pietro Giuria 1,Presentazione concorso nazionale crescita cristalli,DST
2025-10-15,mercoledì,10–13,Piazzetta DSTF — via Pietro Giuria 9,Contaminanti emergenti,DSTF
2025-10-15,mercoledì,10–18,Piazzetta DST — via Pietro Giuria 1,"Frane e alluvioni, se le conosci le eviti!",DST
2025-10-15,mercoledì,11–12,partenza via Valperga Caluso 35 → Orto Botanico → via Pietro Giuria / corso Raffaello,Le rocce sono tra di noi,DST
2025-10-15,mercoledì,15–17,Fisica — via Pietro Giuria 1,La classe aumentata,Fisica
2025-10-15,mercoledì,16,Piazzetta Fisica — via Pietro Giuria 1,"La fisica di Star Trek, oltre la TransCurvatura ed il Teletrasporto",Fisica
2025-10-16,giovedì,10–18,Piazzetta DST — via Pietro Giuria 1,I Fossili: la Vita nel Tempo Profondo,DST
2025-10-16,giovedì,10–12,Piazzetta DSTF — via Pietro Giuria 9,Scoprire nuovi farmaci: un viaggio nel Metaverso!,DSTF
2025-10-16,giovedì,10–12,Piazzetta DSTF — via Pietro Giuria 9,"Alla scoperta delle forme, dei colori e dei profumi delle piante",DSTF
2025-10-16,giovedì,10–13,Piazzetta Chimica — via Pietro Giuria 7,Reazioni chimiche,Chimica
2025-10-16,giovedì,10–13,Piazzetta Chimica — via Pietro Giuria 7,Giochiamo con l’economia circolare,Chimica
2025-10-16,giovedì,10–13,Piazzetta Fisica — via Pietro Giuria 1,ParticleArmente,Fisica
2025-10-16,giovedì,10–13,Piazzetta DST — via Pietro Giuria 1,Minerali in gioco: risorse preziose per la vita di tutti i giorni,DST
2025-10-16,giovedì,11–13,Piazzetta DST — via Pietro Giuria 1,Studiare le Scienze della Terra,DST
2025-10-16,giovedì,14–17,Piazzetta DSTF — via Pietro Giuria 9,"Alla scoperta delle forme, dei colori e dei profumi delle piante",DSTF
2025-10-16,giovedì,14:30,Fisica — via Pietro Giuria 1,Osservare il cielo con l’acqua,Fisica
2025-10-16,giovedì,15–18,Fisica — via Pietro Giuria 1,La meccanica quantistica a occhio nudo,Fisica
2025-10-16,giovedì,16–18,Piazzetta DST — via Pietro Giuria 1,Studiare le Scienze della Terra,DST
2025-10-16,giovedì,pomeriggio,Piazzetta DSTF — via Pietro Giuria 9,La farmacovigilanza chiama anche te!,DSTF
2025-10-17,venerdì,9:30,Museo di Fisica — via Pietro Giuria 1,Visita del Museo di Fisica,Fisica
2025-10-17,venerdì,9:30 e 12:30,Museo di Fisica — via Pietro Giuria 1,Comunicazione quantistica e polarizzazione della luce,Fisica
2025-10-17,venerdì,10–14,Piazzetta DST — via Pietro Giuria 1,Attrazione magnetica,DST
2025-10-17,venerdì,10–13,Piazzetta DSTF — via Pietro Giuria 9,Gioco dell’Oca della Scienza,DSTF
2025-10-17,venerdì,10–13,Piazzetta Fisica — via Pietro Giuria 1,ParticleArmente: viaggio nell’invisibile!,Fisica
2025-10-17,venerdì,11,Museo di Fisica — via Pietro Giuria 1,Visita del Museo di Fisica,Fisica
2025-10-17,venerdì,pomeriggio,Piazzetta DSTF — via Pietro Giuria 9,La farmacovigilanza chiama anche te!,DSTF
2025-10-17,venerdì,14–18,Piazzetta DST — via Pietro Giuria 1,I vulcani dallo spazio,DST
